Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcodes,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Age group (product.metafields.shopify.age-group),Animal feed form (product.metafields.shopify.animal-feed-form),Boot style (product.metafields.shopify.boot-style),Boot type (product.metafields.shopify.boot-type),Chicken feed stage (product.metafields.shopify.chicken-feed-stage),Closure type (product.metafields.shopify.closure-type),Clothing features (product.metafields.shopify.clothing-features),Color (product.metafields.shopify.color-pattern),Construction (product.metafields.shopify.construction),Embellishment/Trim material (product.metafields.shopify.embellishment-trim-material),Fabric (product.metafields.shopify.fabric),Footwear material (product.metafields.shopify.footwear-material),Handwear material (product.metafields.shopify.handwear-material),Heel height type (product.metafields.shopify.heel-height-type),Horse category (product.metafields.shopify.horse-category),Ingredient category (product.metafields.shopify.ingredient-category),Livestock food ingredients (product.metafields.shopify.livestock-food-ingredients),Material (product.metafields.shopify.material),Neckline (product.metafields.shopify.neckline),Occasion style (product.metafields.shopify.occasion-style),Outerwear clothing features (product.metafields.shopify.outerwear-clothing-features),Package type (product.metafields.shopify.package-type),Pet food flavor (product.metafields.shopify.pet-food-flavor),Pet food form (product.metafields.shopify.pet-food-form),Shoe features (product.metafields.shopify.shoe-features),Shoe fit (product.metafields.shopify.shoe-fit),Size (product.metafields.shopify.size),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target gender (product.metafields.shopify.target-gender),Toe style (product.metafields.shopify.toe-style),Top length type (product.metafields.shopify.top-length-type),Variant Image,Variant Weight Unit,Variant Tax Code,Status
simple-system-simple-balance,Simple System Simple Balance +,<p><span>A Carefully formulated forage balancer containing high quality functional ingredients for promoting optimum health. Simple Balance + is very palatable and pelleted for convenience.</span></p>,Simple System,Sporting Goods > Outdoor Recreation > Equestrian > Horse Care > Horse Vitamins & Supplements,Feed,"feed, horse feed, local-delivery-only",true,Title,Default Title,,,,,,,,,0.0,manual,32.00,,true,true,,,,,,,,,false,Simple System Simple Balance + | New Forest Country Store,Simple Balance + is very palatable and pelleted for convenience. Local delivery across the New Forest.,7459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,active
small-hay-bale,Small Hay Bale,"<p>A small conventional bale of hay, suitable as everyday forage for horses and ponies.</p>
<p>Small bales are easy to handle, quick to split into sections and simple to store, making them a practical choice for smaller yards, private owners and anyone without the space or machinery for large bales.</p>
<p>Available for local delivery across the New Forest. Please contact the store for current availability.</p>",New Forest Country Store,Home & Garden > Decor > Artificial Flora > Artificial Non-Flowering Plants,Feed,"horse feed, local-delivery-only",true,Title,Default Title,,,,,,,,,0.0,manual,7.50,,true,true,,,,,,,,,false,Small Hay Bale | New Forest Country Store,"A small bale of quality horse hay, ideal for everyday forage feeding and easy to handle and store. Local delivery across the New Forest.",6265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,active
a-p-poultry-growers-pellets,Allen & Page Poultry Growers Pellets,"<p><span>Poultry Grower Pellets may be fed to finish, or before layers pellets for laying hens. Suitable from 5 to 6 weeks of age until finish, or for laying hens they are then ready to move on to layers pellets at around 16 weeks. Encourages a slower, more natural growth rate to finish Drug free This feed does not contain Coccidiostats or growth promoters Contains prebiotics to help support digestive health With vitamins and minerals for a complete nutritionally balanced diets</span></p>",Allen & Page,Business & Industrial > Agriculture > Animal Husbandry > Livestock Feed > Chicken Feed,Feed,"feed, local-delivery-only, poultry feed",true,Title,Default Title,,,,,,,,,0.0,manual,16.50,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0978/5638/9495/files/Allen_PagePoultryGrowersPellets_80189709-c587-47fc-b470-c5aacadffee0.jpg?v=1787868205,1,,false,Allen & Page Poultry Growers Pellets,"Poultry Grower Pellets may be fed to finish, or before layers pellets for laying hens. Local delivery across the New Forest.",543544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,active
naf-naturalintx-hoof-poultice,NAF Naturalintx Hoof Poultice,"<p><span>NAF The NaturalintX Hoof Poultice has been designed to comfortably fit your horses hoof, reducing preparation time and enabling ease of application.</span></p>",New Forest Country Store,Sporting Goods > Outdoor Recreation > Equestrian > Horse Care > Horse Hoof Care,,"equestrian, medical",true,Title,Default Title,,,,,,,,,0.0,manual,7.00,,true,true,,,,,,,,,false,NAF Naturalintx Hoof Poultice | New Forest Country Store,NAF the NaturalintX Hoof Poultice has been designed to comfortably fit your horses hoof. UK delivery available.,3257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,active
km-elite-wrap,KM Elite Wrap,"<p>A cohesive support wrap for first aid and everyday use around the yard.</p>
<ul>
<li>Sticks to itself rather than to the coat, bandages or dressings.</li>
<li>Tears by hand, so no scissors are needed.</li>
<li>Useful for holding poultices and dressings in place.</li>
</ul>
<p>Always apply at an even tension and check the limb regularly. Seek veterinary advice for any injury you are unsure about.</p>",Scarterfield,Uncategorized,medical,first aid,true,Title,Default Title,,,,,,,,,0.0,manual,1.50,,true,true,,,,,,,,,false,KM Elite Wrap | New Forest Country Store,"A cohesive support wrap for first aid and yard use, sticking to itself rather than to the coat or bandages. UK delivery available.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,active
horslyx-respiratory,Horslyx Respiratory,"<p>Respiratory Horslyx offers horse owners the unique opportunity to encourage natural, trickle feeding patterns, balance the nutritional deficiencies in forage and grazing and support a healthy respiratory system – all in one tub!</p>
<p>Respiratory Horslyx works in two ways...</p>
<p>Firstly menthol, eucalyptus and aniseed help keep airways clear of mucus, which help the horse breathe more easily and dramatically reduce stress.</p>
<p>Secondly, the Horslyx high specification vitamin, mineral and trace element package - including generous levels of the powerful antioxidants selenium, Vitamin C and Vitamin E, together with chelated copper and zinc - help to support and maintain a strong healthy immune system which maximises the ability to support and aid healthy lung function. This “double action” is unique to Respiratory Horslyx.</p>
<p>When fed alongside the correct amounts of good quality forage, Respiratory Horslyx removes the need for buckets of hard feed and offers a palatable, easy to use and cost effective method of feeding your horse alongside supporting his respiratory system.</p>",Scarterfield,Uncategorized,treats,horse feed,true,Title,Default Title,,,,,,,,,0.0,manual,5.50,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0978/5638/9495/files/HorslyxRespiratory_3a52a99a-010d-42b7-87ee-77f7527cf7cb.jpg?v=1788788269,1,,false,Horslyx Respiratory | New Forest Country Store,"Respiratory Horslyx offers horse owners the unique opportunity to encourage natural, trickle feeding patterns. UK delivery available.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,active
horslyx-pro-digest,Horslyx Pro Digest,"<p>Horslyx Digestion Balancer contains a combination of ingredients to support the digestive system from the stomach to the hindgut while licking enhances saliva production which helps buffer stomach acidity. Slippery Elm and Seaweed Meal are included as a source of mucilage while a prebiotic supports beneficial gut bacteria and a live probiotic yeast helps provide a buffering action in the hindgut.</p>
<p>With increased magnesium levels and a low starch content Digestion Balancer is suitable for any horse but is especially aimed at those prone to digestive upsets.</p>
<p>An apple flavouring is included to tempt fussy feeders and the high specification Horslyx Balancer package includes the full spectrum of vitamins, minerals and trace elements required to balance the deficiencies in forage and grazing.</p>",Scarterfield,Uncategorized,treats,"horse feed, treats",true,Title,Default Title,,,,,,,,,0.0,manual,5.50,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0978/5638/9495/files/HorslyxProDigest_5c02503e-1a76-499e-bd99-1f5b86b1e1e4.jpg?v=1788788462,1,,false,Horslyx Pro Digest | New Forest Country Store,"A palatable lick supporting the digestive system from stomach to hindgut, with licking encouraging saliva. UK delivery available.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,active
horslyx-original,Horslyx Original,<p><span>Original Horslyx - Supports all round health and vitality! How can Original Horslyx help your horse or pony? Balancing nutrient deficiencies in forage and grazing. Providing a weatherproof feeding solution which can be used in the stable or field. Original Horslyx offers owners a unique way to supplement forage and grazing. Reducing boredom and stress. Offering a palatable diet that requires no mixing or preparing.</span></p>,Scarterfield,Sporting Goods > Outdoor Recreation > Equestrian > Horse Care > Horse Vitamins & Supplements,licks,"horse feed, treats",true,Title,Default Title,,,,,,,,,0.0,manual,5.50,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0978/5638/9495/files/HorslyxOriginal.jpg?v=1788788728,1,,false,Horslyx Original | New Forest Country Store,Original Horslyx - supports all round health and vitality! Balancing nutrient deficiencies in forage and grazing. UK delivery available.,7459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,active
horslyx-garlic,Horslyx Garlic,"<p><meta charset=""utf-8""><span>Horslyx Mini Garlic helps to provide a natural and effective way to help prevent insects such as flies and midges biting. It can also reduce irritation caused by sweet itch. </span></p>",Scarterfield,Uncategorized,treats,licks,true,Title,Default Title,,,,,,,,,0.0,manual,5.50,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0978/5638/9495/files/HorslyxGarlic_1521bb77-d147-4e41-95d8-254acc746db4.jpg?v=1788795633,1,,false,Horslyx Garlic | New Forest Country Store,Horslyx Mini Garlic helps to provide a natural and effective way to help prevent insects such as flies and midges biting. UK delivery available.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,active
horslyx-mint,Horslyx Mint,"<p><meta charset=""utf-8""><span>Horslyx Mint Balancer is a palatable, nutrient rich lick containing vitamins, minerals and trace elements to balance the deficiencies in forage and grazing with peppermint oil for a cool refreshing flavour. The flavour of real peppermint oil is loved by many horses, making it the ideal choice for fussy equines</span></p>",Scarterfield,Uncategorized,treats,licks,true,Title,Default Title,,,,,,,,,0.0,manual,5.50,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0978/5638/9495/files/HorslyxMint.jpg?v=1788795368,1,,false,Horslyx Mint | New Forest Country Store,"Horslyx Mint Balancer is a palatable, nutrient rich lick containing vitamins. UK delivery available.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,active
